"Data Source","World Development Indicators","","","","","","","","","",""

"Country Name","Country Code","Indicator Name","Indicator Code","2010","2011","2012","2013","2014","2015","2016","2017"
"Botswana","BWA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","25.72472","24.59211","24.85404","24.87426","24.15128","24.33026","23.63127","23.09439"
"Central African Republic","CAF","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","51.53332","51.22953","53.35883","50.87491","49.35636","58.3261","56.98542","56.8285"
"Canada","CAN","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","8.384457","8.624461","8.10741","7.791636","7.42842","7.151582","6.549075","6.428383"
"Central Europe and the Baltics","CEB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","21.98803","21.90983","20.20362","19.22538","18.6092","18.9941","17.64109","17.63333"
"Switzerland","CHE","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","12.92222","13.04922","12.26139","11.82005","11.38911","11.16525","10.34263","10.3031"
"Channel Islands","CHI","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","",""
"Chile","CHL","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","25.89229","27.24587","25.04716","23.93669","22.86825","22.56979","20.87687","21.0363"
"China","CHN","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","69.47957","70.54203","63.82702","65.51455","59.76737","59.06342","52.21132","52.6646"
"Cote d'Ivoire","CIV","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","21.61771","22.59307","22.4944","21.30554","20.90018","27.68749","26.6747","25.88627"
"Cameroon","CMR","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","59.2934","58.0769","62.7767","58.18634","56.71531","77.05174","73.20529","72.7931"
"Congo, Dem. Rep.","COD","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","41.39804","41.49329","43.03677","44.49576","42.54945","44.93119","45.4995","44.90926"
"Congo, Rep.","COG","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","42.00909","44.15559","43.48999","46.12664","45.85282","44.1477","45.71104","46.63822"
"Colombia","COL","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","21.49785","21.36778","20.53664","19.22335","18.34421","17.30028","16.5806","16.52721"
"Comoros","COM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","20.66636","21.02016","21.25263","21.04796","21.50207","20.71556","20.48273","20.54682"
"Cabo Verde","CPV","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","27.59644","31.64178","32.94099","32.08584","31.62108","38.63361","33.39233","34.7787"
"Costa Rica","CRI","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","19.27295","19.70213","19.33513","18.34152","17.54363","16.87929","15.65581","15.72592"
"Caribbean small states","CSS","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","22.88005","23.60446","22.1765","21.45642","19.96654","20.08738","19.10237","19.00983"
"Cuba","CUB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","23.9333","24.78732","23.23979","22.85074","21.29623","20.8641","19.73784","19.70605"
"Curacao","CUW","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","",""
"Cayman Islands","CYM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","",""
"Cyprus","CYP","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","20.08187","20.09096","19.22484","18.68455","18.29353","19.10135","16.95802","17.29441"
"Czech Republic","CZE","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","20.67687","20.08125","18.74318","17.99629","17.39122","17.41645","16.10058","16.07125"
"Germany","DEU","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","15.18949","14.66423","13.57764","13.19192","12.75122","12.8261","11.93781","12.02877"
"Djibouti","DJI","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","38.24087","40.44184","39.94282","40.10377","41.25973","45.95081","45.86888","45.54962"
"Dominica","DMA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","23.74075","24.27612","22.2158","22.15107","21.01031","20.68879","19.98815","19.49315"
"Denmark","DNK","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","11.92915","12.66233","11.11553","10.82028","11.0667","10.65729","10.09597","10.02965"
"Dominican Republic","DOM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","16.87447","17.29978","16.15284","15.39695","14.18807","14.85822","13.69023","13.72632"
